Titre,Lien,Description,Tags,Date,Nom_de_la_chaine,Nombre_de_like,Nombre_de_vue;;;;;;
"Journée sur les politiques, la recherche et l’action contre l’isolement social - Partie 1,https://www.youtube.com/watch?v=7la_YZuu73U,""Sensibilisation et partage des expériences antérieures en matière de recherche, surveillance et politique  Le 18 mars 2022, l’Université Grenoble Alpes et le Global Initiative for Loneliness and Connection organisent la première rencontre en France autour des politiques, de la recherche et de l'action contre l’isolement social.  Cet événement international, organisé avec le soutien du ministère des Solidarités et de la Santé et labellisée dans le cadre de la Présidence française de l’Union européenne, réunit des scientifiques et des acteurs publics ainsi que des représentants d’organisations européennes et internationales autour des enjeux de l’isolement social, de ses impacts sur la santé et plus généralement sur nos sociétés.  En introduction de la journée, différents acteurs européens sensibilisent et partagent leurs expériences et recherches sur la problématique de l'isolement social. -------------------------- Social connection policy, research, and action summit - Raising awareness and sharing of prior experiences in research and policy frameworks  March 18, 2022, Université Grenoble Alpes and the Global Initiative for Loneliness and Connection organize the first meeting in France on policy, research, and action against social isolation.  This international event, organized with the support of the Ministry of Solidarity and Health and accredited under the French Presidency of the European Union, convenes a cadre of political leaders, researchers, and other thought-leaders from across the globe to catalyze a platform to address social isolation, loneliness, and social connection within France and the European Union (EU) more broadly.  As an introduction to the day, different European actors raise awareness and share their experiences and research on the issue of social isolation.  ------------------------------   L' Université Grenoble Alpes  Site internet : https://www.univ-grenoble-alpes.fr/  Twitter : @Ugrenoblealpes Instagram : @universitegrenoblealpes  Facebook : @UGrenobleAlpes"",""live en_direct"",2022-03-18,""Université Grenoble Alpes"",8,409";;;;;;
"Solitudes - Jeune et sans amis, quand la solitude frappe les 15-30 ans,https://www.youtube.com/watch?v=z1deLuus5gs,""Déménagement, échec scolaire, précarité… la solitude est souvent le résultat de plusieurs facteurs. Loin des idées préconçues qui l’associent uniquement aux personnes âgées, elle frappe également les jeunes. La Fondation de France a mené une étude sur la solitude des 15-30 ans qu'elle a présenté lors des 50 ans de l'AJIS au Sénat. Découvrez l'étude : https://www.fondationdefrance.org/fr/solitude-jeunes"",""Fondation France Solidarité Philanthropie Philanthrope Philanthropes Mécénat sous égide projets financement local agir ensemble solitudes"",2017-10-02,""Fondation de France"",687,42836";;;;;;
"Journée sur les politiques, la recherche et l’action contre l’isolement social - Partie 2,https://www.youtube.com/watch?v=8zKrIdc-J60,""International Evidence Frameworks pour les praticiens  Le 18 mars 2022, l’Université Grenoble Alpes et le Global Initiative for Loneliness and Connection organisent la première rencontre en France autour des politiques, de la recherche et de l'action contre l’isolement social.  Cet événement international, organisé avec le soutien du ministère des Solidarités et de la Santé et labellisée dans le cadre de la Présidence française de l’Union européenne, réunit des scientifiques et des acteurs publics ainsi que des représentants d’organisations européennes et internationales autour des enjeux de l’isolement social, de ses impacts sur la santé et plus généralement sur nos sociétés.  Dans cette partie, les intervenants s'intéressent aux mesures de lutte contre la solitude en Europe et le reste du monde.  ---------------------  Social connection policy, research, and action summit - International Evidence Frameworks for practitioners M arch 18, 2022, Université Grenoble Alpes and the Global Initiative for Loneliness and Connection organize the first meeting in France on policy, research, and action against social isolation.  This international event, organized with the support of the Ministry of Solidarity and Health and accredited under the French Presidency of the European Union, convenes a cadre of political leaders, researchers, and other thought-leaders from across the globe to catalyze a platform to address social isolation, loneliness, and social connection within France and the European Union (EU) more broadly.  In this section, the speakers focus on measures to combat loneliness in Europe and the rest of the world.    L' Université Grenoble Alpes  Site internet : https://www.univ-grenoble-alpes.fr/  Twitter : @Ugrenoblealpes Instagram : @universitegrenoblealpes  Facebook : @UGrenobleAlpes"",""live en_direct"",2022-03-18,""Université Grenoble Alpes"",6,180";;;;;;
"ÉPILEPSIE et ISOLEMENT SOCIAL : PARLONS-EN !,https://www.youtube.com/watch?v=QzKCIQhRCtw,""↪️ Dans le cadre de son plan d'actions 2021-2022 """"Cap vers le 2e Sommet National de l'Épilepsie"""", l'association Épilepsie-France organise un cycle de conférences sur des thématiques-clés pour les patients.   Thème 3️⃣ : Épilepsie et Isolement social  Le 12/02/2022 à Bordeaux (Cap Sciences)     Avec la participation de :    Dr Jérôme Aupy, neurologue au CHU de Bordeaux-Pellegrin   Dr Lisa Vaugier, neurologue au CHU La Timone (Marseille)   Célia Sauveur, psychologue au CHU Bordeaux-Pellegrin   Bénédicte Cezard, association GRIM (Lyon)   Personnes témoins : Stéphanie, Tiphaine, Clémence   François Latour, administrateur d’Épilepsie-France et correspondant local pour le Var   Christophe Lucas, Président de l'association nationale de patients Épilepsie-France      www.epilepsie-france.com"",""épilepsie violet association patient isolement"",2022-04-11,Épilepsie-France,14,426";;;;;;
"As-tu connu la solitude et l&#39;isolement en France ? | Interview | Diaspora Motivation,https://www.youtube.com/watch?v=aKe3IRpdW8I,""Dans cette nouvelle partie de l'interview avec Lucien, on parle d'un sujet très important : la solitude et l'isolement !  On a tendance à négliger cet aspect, mais si tu fais partie de la diaspora, tu l'as probablement expérimenté ! Lucien nous partage aujourd'hui comment il a vécu la solitude et l'isolement en arrivant en France, et surtout à l'université.   Malgré tout, la solitude peut avoir des bienfaits mais encore faut-il qu'elle soit choisie, et non subie.   Comment ça s'est passé pour toi, quand tu es arrivé.e en France ? Comment ça s'est passé à l'université, ou dans ton école ?   Partage avec moi en commentaire ton expérience, et échangeons à ce sujet.  ---------------------------  Tu aimerais participer à la saison 2 de diaspora motivation ? Fais-le moi savoir en commentaire ou envoie-moi un message sur Instagram :).   Voici les liens qui vont  t'intéresser :   La saison 1 de Diaspora Motivation : https://www.youtube.com/playlist?list=PLp8X9gNcXnX7ILhI3XbguHQj3FGBdFhzu  L'interview complète avec Lucien : https://youtu.be/Lz6E_Ak1S78  Pour t'abonner à ma chaîne YouTube et rejoindre la communauté motivation, c'est par ici  : https://shorturl.me/2iriW8or  Rejoints-moi aussi sur :   Instagram : https://www.instagram.com/allan.motivation/?hl=fr Facebook : https://www.facebook.com/allan.motivation/ Twitter : https://twitter.com/allanmotivation?lang=fr Soundcloud : https://soundcloud.com/allanmotivation  À très vite !  Allan Motivation"",""martinique guadeloupe diaspora motivation antilles guyane"",2020-09-11,""Allan Motivation"",1,36";;;;;;
"Cultiver la résilience : Combattre l’isolement,https://www.youtube.com/watch?v=56ntOBmNxsY,""Francine Proulx-Kenzle, formatrice de premiers soins en santé mentale, indique des moyens de combattre l’isolement physique et mental qui peut être associé à la vie dans les régions rurales et parfois éloignées qu’impose le métier d’agriculteur.  Faits saillants : - L’isolement peut prendre deux formes : physique et mental. - Faites le choix de parler de vos problèmes à d’autres personnes. - Sachez que vous n’êtes pas seul à vous sentir isolé. - Il existe des ressources et du soutien partout au Canada."",""communauté anxiété suicide dépression solitude isolement"",2018-11-14,""Financement agricole Canada"",0,178";;;;;;
"Surdoué: Comment éviter l&#39;isolement et trouver des amis fiables,https://www.youtube.com/watch?v=zUI-G3TZek8,""⇩ ️REÇOIS TA FORMATION OFFERTE ICI ️⇩ http://universitedeshautspotentiels.com/kdo  Dans le cadre de cette campagne de sensibilisation pour les surdoués, tu peux recevoir ta première formation offerte:  ⏩""""CANALISE TES PENSÉES ENVAHISSANTES ET PROFITE DE L'INSTANT PRÉSENT""""   ——————————  Si tu as besoin d'une détection de la douance pertinente ou d'une consultation privée, toutes les infos sont là:  Détection:  https://universite-des-hauts-potentiels.kneo.me/shop/view/CONSULTATIONPRIVE2H00-DETECTION  Consultations:  https://universite-des-hauts-potentiels.kneo.me/shop/category/6132  Si je parle d'une formation dans la vidéo, tu peux y accéder en cliquant sur le lien ci-dessous: http://universitedeshautspotentiels.com/les-formations  Instagram ici: https://www.instagram.com/universitedeshp/  Puis rejoins le groupe Facebook dans lequel j'apporte beaucoup de réponses: https://www.facebook.com/SiegfriedCey/  Tu peux écouter et télécharger cet épisode au format podcast ici:  Apple Podcast: https://podcasts.apple.com/us/podcast/universit%C3%A9-des-haut-potentiel/id1462029088?ign-mpt=uo%3D4  Spreaker: https://www.spreaker.com/show/universite-des-hauts-potentiels  SoundCloud: https://soundcloud.com/universite-des-hp  Spotify: https://open.spotify.com/show/5jgnR1b4MxVD6EHJsVZw4U  Deezer: https://www.deezer.com/fr/show/785272  Google Podcast: https://podcasts.google.com/?feed=aHR0cHM6Ly93d3cuc3ByZWFrZXIuY29tL3Nob3cvMzUwODA5My9lcGlzb2Rlcy9mZWVk   ==============  Bienvenue dans l’émission des personnes à haut potentiel intellectuel ou émotionnel!  Je suis Siegfried Cey, Neurothérapeute spécialisé dans les personnes à haut potentiel Praticien de Programmation Neurolinguistique  et d' Hypnothérapie Clinique,  Auteur, Conférencier, et...surefficient à plein temps!  J’aide les personnes surdouées à s’épanouir en leur donnant le mode d'emploi de leur haut potentiel.  Tu trouveras ci-dessus le lien pour faire partie de mes contacts privés avec qui je partage mes méthodes de développement humain. Tu rejoindras alors cette communauté d’individus qui, je pense, change positivement le monde à chaque époque.  Si cet épisode t’a plu, pense à liker, laisse un commentaire et partage à une personne que ça pourrait aider.  Et n’oublie pas la citation d’Albert Einstein:  """"La folie, c'est de faire toujours la même chose et de s'attendre à un résultat différent.""""   Si ça n’a pas marché pour toi jusqu’ici, c’est que tu n’as pas le bon mode d’emploi. Si tu veux t’épanouir avec ta douance…C’est le moment de changer ta façon de faire !  ----------------- Item Title:                      Relaxing Experimental Minimalist Zen Item URL:                        https://elements.envato.com/relaxing-experimental-minimalist-zen-U5QHRLV Item ID:                         U5QHRLV Author Username:                 FlossieWood Licensee:                        siegfried camoscio Registered Project Name:         Université des HP License Date:                    May 22nd, 2020 Item License Code:               WJXC9SDF3    Item Title:                      Sport Intro Aggressive Item URL:                        https://elements.envato.com/sport-intro-aggressive-RBG2XDS Item ID:                         RBG2XDS Author Username:                 331 Licensee:                        siegfried camoscio Registered Project Name:         Université des HP License Date:                    May 22nd, 2020 Item License Code:               FEGH4B5TS9"",""APIE AFEP doué mensa surdoué udhp Anpeip zebre siegfried_cey surefficient THQI précoce #udhp sentinelle Cogito'Z"",2020-06-01,""Université des Hauts Potentiels"",253,4585";;;;;;
"Pourquoi l&#39;ISOLEMENT est MAUVAIS pour le CERVEAU,https://www.youtube.com/watch?v=3SYsXgitBvA,""Pourquoi l'isolement est mauvais pour le cerveau : la socialisation est vitale pour l'être humain : une personne isolée, sans contact social, augmente de 50% son risque de décès.  __________________ EN SAVOIR PLUS ___________________ Vous avez deux fois plus de potentiel mémoire que vous ne le pensez :    https://les-secrets.com/sl/formation-gratuite  # Mon compte LinkedIn :  http://fr.linkedin.com/in/vincentdelourmel # Retrouvez-moi sur Facebook : https://www.facebook.com/delourmel.vincent # Suivez-moi sur Twitter : https://twitter.com/v_delourmel"",""Mémoire Cognition Attention Perception Magie Illusion Mnémoniste cerveau intelligence isolement"",2021-04-21,""Vincent DELOURMEL"",16,504";;;;;;
"Montpellier : Des étudiants fragilisés par l&#39;isolement.,https://www.youtube.com/watch?v=FOaDJTSH5jw,""Ce reconfinement a été un coup dur pour les étudiants qui étaient déjà fragilisés moralement. Nous sommes allés à leur rencontre dans une résidence étudiante située entre Saint-Paul et Hauts de Massane à la Mosson."",,2020-12-04,""Kaina TV"",6,220";;;;;;
"Fouilles à nu, maternité, appels sur écoute, le quotidien des prisons pour femmes - PRISON[S],https://www.youtube.com/watch?v=7_yDkw7VfFw,""Toute la série gratuitement sur https://www.france.tv/slash/prisons/3209185-cyril-et-l-unite-sanitaire.html?at_medium=custom2&at_campaign=800&at_custom1=description&at_custom2=slash  N'oubliez pas d'activer vos notifications   Rien ne destinait Aurélie à faire de la prison. Quand elle est incarcérée à 17 ans, le choc carcéral est lourd. Au fur et à mesure des mois, des années, elle réalise que les conditions de détention des femmes sont parfois plus dures que celle des hommes. Le centre de détention de Bapaume accueille une soixantaine de femmes, la plupart condamnées à de lourdes peines. Nous suivons leurs journées rythmées par le travail en atelier, les promenades, les repas et l’attente.  La série PRISON[S] propose 5 épisodes, 5 thématiques qui montrent 5 quartiers et parcours de la détention en France : le quartier arrivant, la détention des mineurs, la détention des femmes, l’unité de soin et les alternatives à l’incarcération.  Alors, à quoi ressemble le quotidien de nos prisons ? Qui sont les hommes et femmes détenu.e.s en France ? Quelle est la réalité de leur détention ?  Suivez francetv slash sur :";;;;;;
